#;Name;Vorname;Klasse/Tutor;P?;Aufgaben;;;;;;;;;;;;;;;;;;;;;;;;;;Gesamt;;Punktzahl;;Hinweis;Kommentar
;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;;Σ;%;;;Nachschreiber, knapp erreichte/bessere, beste/schlechteste, diff/non-diff;
23;Ostermann;Paul;;;5;4;5;5;5;5;4;5;5;5;4;5;5;4;5;5;5;5;4;5;5;5;4;5;5;;119;95,2 %;15;voll sehr gut;;
24;Pfeifer;Marko;;;3;3;5;3;3;3;0;5;5;3;3;5;3;3;5;3;3;3;0;5;5;3;3;5;3;;85;68,0 %;09;voll befriedigend;;
25;Schmidt;Karolin;;;4;3;4;5;5;3;5;3;5;4;3;4;4;3;4;5;5;3;5;3;5;4;3;4;5;;101;80,8 %;12;voll gut;;
26;Schuster;Stephan;;;3;3;2;4;2;2;5;1;5;3;3;2;3;3;2;4;2;2;5;1;5;3;3;2;2;;72;57,6 %;09;voll befriedigend;;
27;van Bollen;Mario;;;3;3;3;4;3;4;4;4;3;3;3;3;3;3;3;4;3;4;4;4;3;3;3;3;3;;83;66,4 %;09;voll befriedigend;;
28;Weiss;Lea;;;3;1;3;5;4;4;0;1;1;3;1;3;3;1;3;5;4;4;0;1;1;3;1;3;4;;62;49,6 %;09;voll befriedigend;knapp schlechter;
29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
Durchschnitte;;;;;3,39;3,57;2,82;3,43;3,21;3,29;2,89;2,93;3,50;3,39;3,57;2,82;3,39;3,57;2,82;3,43;3,21;3,29;2,89;2,93;3,50;3,39;3,57;2,82;3,21;;80,86;;9,9;;;
;;;;;68 %;71 %;56 %;69 %;64 %;66 %;58 %;59 %;70 %;68 %;71 %;56 %;68 %;71 %;56 %;69 %;64 %;66 %;58 %;59 %;70 %;68 %;71 %;56 %;64 %;;65 %;;;;;
Anzahl der SuS mit voller Punktzahl;;;;;10;10;8;9;8;7;8;8;13;10;10;8;10;10;8;9;8;7;8;8;13;10;10;8;8;;1;;;;;
;;;;;36 %;36 %;29 %;32 %;29 %;25 %;29 %;29 %;46 %;36 %;36 %;29 %;36 %;36 %;29 %;32 %;29 %;25 %;29 %;29 %;46 %;36 %;36 %;29 %;29 %;;4 %;;;;;
