#;Name;Vorname;Klasse/Tutor;Aufgaben;;;;;;;;;;;;;;;;;;;;;;;;;;Gesamt;;Note;;Hinweis;Kommentar
;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;;Σ;%;;;Nachschreiber, knapp erreichte/bessere, beste/schlechteste, diff/non-diff;
18;Jäger;Robert;;4;5;2;3;5;3;2;4;5;4;5;2;4;5;2;3;5;3;2;4;5;4;5;2;5;;93;74,4 %;3;befriedigend;;
19;König;Dennis;;3;4;2;5;2;2;5;4;3;3;4;2;3;4;2;5;2;2;5;4;3;3;4;2;2;;80;64,0 %;3;befriedigend;;
20;Mehler;Lukas;;4;5;5;4;5;2;5;4;5;4;5;5;4;5;5;4;5;2;5;4;5;4;5;5;5;;111;88,8 %;2;gut;;
21;Müller;Diana;;0;3;1;3;5;0;3;2;5;0;3;1;0;3;1;3;5;0;3;2;5;0;3;1;5;;57;45,6 %;5;mangelhaft;;
22;Nussbaum;Leon;;5;2;5;4;3;1;1;4;5;5;2;5;5;2;5;4;3;1;1;4;5;5;2;5;3;;87;69,6 %;3;befriedigend;;
23;Ostermann;Paul;;5;4;5;5;5;5;4;5;5;5;4;5;5;4;5;5;5;5;4;5;5;5;4;5;5;;119;95,2 %;1;sehr gut;;
24;Pfeifer;Marko;;3;3;5;3;3;3;0;5;5;3;3;5;3;3;5;3;3;3;0;5;5;3;3;5;3;;85;68,0 %;3;befriedigend;;
25;Schmidt;Karolin;;4;3;4;5;5;3;5;3;5;4;3;4;4;3;4;5;5;3;5;3;5;4;3;4;5;;101;80,8 %;2;gut;;
26;Schuster;Stephan;;3;3;2;4;2;2;5;1;5;3;3;2;3;3;2;4;2;2;5;1;5;3;3;2;2;;72;57,6 %;4;ausreichend;;
27;van Bollen;Mario;;3;3;3;4;3;4;4;4;3;3;3;3;3;3;3;4;3;4;4;4;3;3;3;3;3;;83;66,4 %;3;befriedigend;;
28;Weiss;Lea;;3;1;3;5;4;4;0;1;1;3;1;3;3;1;3;5;4;4;0;1;1;3;1;3;4;;62;49,6 %;5;mangelhaft;knapp schlechter;
29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
Durchschnitte;;;;3,39;3,57;2,82;3,43;3,21;3,29;2,89;2,93;3,50;3,39;3,57;2,82;3,39;3,57;2,82;3,43;3,21;3,29;2,89;2,93;3,50;3,39;3,57;2,82;3,21;;80,86;;3,3;;;
;;;;68 %;71 %;56 %;69 %;64 %;66 %;58 %;59 %;70 %;68 %;71 %;56 %;68 %;71 %;56 %;69 %;64 %;66 %;58 %;59 %;70 %;68 %;71 %;56 %;64 %;;65 %;;;;;
Anzahl der SuS mit voller Punktzahl;;;;10;10;8;9;8;7;8;8;13;10;10;8;10;10;8;9;8;7;8;8;13;10;10;8;8;;1;;;;;
;;;;36 %;36 %;29 %;32 %;29 %;25 %;29 %;29 %;46 %;36 %;36 %;29 %;36 %;36 %;29 %;32 %;29 %;25 %;29 %;29 %;46 %;36 %;36 %;29 %;29 %;;4 %;;;;;
