#;Name;Vorname;Klasse/Tutor;Aufgaben;;;;;;;;;;;;;;;;;;;;;;;;;;Gesamt;;Note;;Hinweis;Kommentar
;;;;1;2;3;4;5;6;7;8;9;10;11;12;;;;;;;;;;;;;;;Σ;%;;;Nachschreiber, knapp erreichte/bessere, beste/schlechteste, diff/non-diff;
18;Jäger;Robert;;4;5;2;3;5;3;2;4;5;4;5;2;;;;;;;;;;;;;;;44;73,3 %;5;mangelhaft;;
19;König;Dennis;;3;4;2;5;2;2;5;4;3;3;4;2;;;;;;;;;;;;;;;39;65,0 %;5;mangelhaft;;
20;Mehler;Lukas;;4;5;5;4;5;2;5;4;5;4;5;5;;;;;;;;;;;;;;;53;88,3 %;5;mangelhaft;;
21;Müller;Diana;;0;3;1;3;5;0;3;2;5;0;3;1;;;;;;;;;;;;;;;26;43,3 %;6;ungenügend;;
22;Nussbaum;Leon;;5;2;5;4;3;1;1;4;5;5;2;5;;;;;;;;;;;;;;;42;70,0 %;5;mangelhaft;;
23;Ostermann;Paul;;5;4;5;5;5;5;4;5;5;5;4;5;;;;;;;;;;;;;;;57;95,0 %;5;mangelhaft;;
24;Pfeifer;Marko;;3;3;5;3;3;3;0;5;5;3;3;5;;;;;;;;;;;;;;;41;68,3 %;5;mangelhaft;;
25;Schmidt;Karolin;;4;3;4;5;5;3;5;3;5;4;3;4;;;;;;;;;;;;;;;48;80,0 %;5;mangelhaft;;
26;Schuster;Stephan;;3;3;2;4;2;2;5;1;5;3;3;2;;;;;;;;;;;;;;;35;58,3 %;5;mangelhaft;;
27;van Bollen;Mario;;3;3;3;4;3;4;4;4;3;3;3;3;;;;;;;;;;;;;;;40;66,7 %;5;mangelhaft;;
28;Weiss;Lea;;3;1;3;5;4;4;0;1;1;3;1;3;;;;;;;;;;;;;;;29;48,3 %;6;ungenügend;;
29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;—;—;—;—;;
Durchschnitte;;;;3,39;3,57;2,82;3,43;3,21;3,29;2,89;2,93;3,50;3,39;3,57;2,82;—;—;—;—;—;—;—;—;—;—;—;—;—;;38,82;;5,2;;;
;;;;68 %;71 %;56 %;69 %;64 %;66 %;58 %;59 %;70 %;68 %;71 %;56 %;—;—;—;—;—;—;—;—;—;—;—;—;—;;65 %;;;;;
Anzahl der SuS mit voller Punktzahl;;;;10;10;8;9;8;7;8;8;13;10;10;8;—;—;—;—;—;—;—;—;—;—;—;—;—;;1;;;;;
;;;;36 %;36 %;29 %;32 %;29 %;25 %;29 %;29 %;46 %;36 %;36 %;29 %;—;—;—;—;—;—;—;—;—;—;—;—;—;;4 %;;;;;
